country_id,indicator_id,value,version,review_status,change_note,source_url,tags,country_name,pattern,sources_count,domain
AUS,IT01,"Internet‑ZT
共通閉域に一極集中せず、クラウド・SaaS周縁の Internet＋ZT 構成を主流に。設計は“インターネット前提”で、境界に依存しないゼロトラスト制御（強制MFA、端末姿勢検証、属性ベースの最小権限、暗号化、継続監査）を標準とする。ネットワークはセグメントを薄く保ち、ブローカー型の安全な接続・プロキシ・CASBでSaaS／IaaSを一貫統制する。ログは中央に集約して相関分析・自動対応を行い、構成と脆弱性はカタログ化して継続的に是正する。レガシー接続や高機密領域は画面転送・無害化・強制プロキシ等で補完し、段階的にZT成熟度を高める。",2026-02-18,published,carried over from existing IT01,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism,sectoral;zt,Australia,Internet‑ZT,1,Central Network Architecture
AUS,IT02,"Local-Sectoral
全国統一の自治体閉域は存在せず、州・準州レベルのネットワーク／共同事業や各自治体の直収接続を組み合わせる“分権型”が一般的。業務系は州の共有サービスや安全なインターネットゲートウェイを通す設計が多く、画面転送・プロキシ・ファイル無害化などの検疫で公開系と分離する。可視化と統制はASDのガイダンスに基づき、最小権限・多層防御と合わせてログ一元化を強化する。州・準州・自治体の共同接続モデルを前提に、拠点直収／地域DC経由／共同運用など複数の接続形態を標準化する。境界はゲートウェイに集約し、プロキシ／中継／無害化・画面転送で公開系と業務系を明確に分離する。ログは共通様式で一元収集し、相関・脅威インテリジェンス連携・手順化されたインシデント対応で可観測性を高める。クラウド／SaaS 連携はテンプレート化されたネットワーク・ID・鍵管理で再利用性を高め、段階的にハイブリッド移行を進める。",2026-02-18,published,initial AUS IT02,https://www.cyber.gov.au/resources-business-and-government/governance-and-user-education/ism,local,Australia,Local-Sectoral,1,Local/Regional Network Model
AUS,IT03,"Sec-ZT-Policy
ASD ISM と Essential Eight を基盤に、政府横断でZT原則（強固な認証、端末姿勢、最小権限、暗号化、継続監査）を方針化。レガシー境界は段階的に縮退し、SIEM/SOC で相関分析を標準化。クラウドやSaaSでも契約・監査・鍵管理の共通枠で一貫統制。ゼロトラスト実装はガバナンス（役割・責任・監査）とポリシー・コード化（IaC/PaC）を伴い、段階的ロードマップで展開する。ID連携・デバイス健全性・ネットワーク・アプリ・データ各柱の測定指標を定義し、成熟度を四半期ベースで可視化する。供給網リスク（SaaS/オープンソース/第三者委託）は契約・検証・監査証跡で管理し、SOCで相関・自動化を進める。クラウド採用時はランディングゾーンと鍵管理・秘匿化標準を適用し、オンプレとの接続は最小境界とする。",2026-02-18,published,initial AUS IT03,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,policy;zt,Australia,Sec-ZT-Policy,1,Security / Zero-Trust Policy
AUS,IT04,"Risk-Zoning-ZT
ASD ISM と Essential Eight を基礎に、用途・機密度に応じた分離（管理系／業務系／公開系）とゼロトラスト要素（MFA・端末健全性・継続検証）を段階的に導入。物理分離が困難な領域ではプロキシ・VDI・CASB 等の論理分離を併用し、ログの集中相関でインシデント対応を平準化する。州や共同体の基準に準拠しつつ、自治体の規模に合わせたガードレールで運用負荷を抑える。データ分類と業務影響分析に基づきゾーンを定義し、境界は無害化・プロキシ・相互TLS・強制記録で多層化する。ID連携は属性・同意・最小権限を基本とし、端末はEDRと姿勢評価で継続検証する。バックアップとDRはゾーン横断の演習で検証し、レポーティングと監査証跡で再現性を確保する。可視化は共通ダッシュボードに統合し、運用手順と権限は職務分掌に沿って最小化する。",2026-02-18,published,initial AUS IT04,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,partial;zt,Australia,Risk-Zoning-ZT,1,Risk Zoning / Segmentation
AUS,IT05,"Procurement
Whole-of-government のクラウド方針とアシュアランス（認定、契約、保護要件）を軸に、複数CSPを調達で使い分ける。ワークロードは基準化されたリファレンスアーキテクチャで展開し、ネットワークは専用接続／ZT制御で保護する。監査・鍵管理・ログ集約は共通枠組みで統制し、依拠データの所在と越境移転に配慮する。ポリシー／アシュアランス主導でクラウドを採用し、契約・セキュリティ基準・プライバシー・データ所在を明文化する。ランディングゾーン・ネットワーク・ID・鍵管理・監査の標準テンプレートを提供し、部門横断の再利用を促進する。クラウド審査／リスク評価／監査対応は中央で支援し、サービス選定の指針とガードレールで逸脱を抑止する。運用メトリクスと費用対効果を継続測定し、改善サイクルをポリシーへ反映する。",2026-02-18,published,initial AUS IT05,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,procurement,Australia,Procurement,1,Government Cloud (Central)
AUS,IT06,"Procurement
自治体向けの全国統一クラウドは存在せず、州の共通枠やAoG契約、セキュアなSaaS/PaaSの選定ガイドに従って導入。リファレンス設計（ID連携、ログ、バックアップ、災対）を共有し、SaaS 連携はCASB等で統制。移行段階ではハイブリッドとし、オンプレから段階的に権限・監査をクラウド基盤へ集約する。共通のガードレール（ID・監査・ログ・バックアップ・DR）に沿って設計・導入し、契約でデータ保護条項と第三者監査を担保する。SaaS利用は属性・同意・監査の前提で連携し、PII／センシティブ情報は暗号化・鍵分離で保護する。ネットワークは最小境界を維持し、必要に応じてVDI／無害化・強制プロキシで分離を補強する。費用対効果と成熟度を定期評価し、改善結果を標準テンプレートへ反映する。",2026-02-18,published,initial AUS IT06,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,procurement,Australia,Procurement,1,Government Cloud (Local)
CAN,IT01,"GovNet‑Common 
連邦の共通接続とセキュリティ基盤の上に、TBS の GC Cloud Guardrails と CCCS のゼロトラスト指針を横断適用。Internet‑first＋ZT を前提に ID・端末・ネットワーク・アプリ・データ各柱を継続検証し、クラウドは Guardrails に沿って鍵管理・監査・分離を共通統制する。",2026-02-18,published,carried over from existing IT01,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32787&section=html,sectoral,Canada,GovNet‑Common,1,Central Network Architecture
CAN,IT02,"Local-Sectoral
全国レベルの自治体閉域はなく、州・準州や共同体（例：ブロードバンド計画、DC共同化）が中核。自治体の業務トラフィックは州ゲートウェイや自前のセキュアインターネット経路で検疫・監査され、公開系と業務系はプロキシ・無害化・画面転送などの組合せで分離される。相互運用はガイドラインと共通ログで担保し、脅威共有を通じて可視性を高める。州・準州・自治体の共同接続モデルを前提に、拠点直収／地域DC経由／共同運用など複数の接続形態を標準化する。境界はゲートウェイに集約し、プロキシ／中継／無害化・画面転送で公開系と業務系を明確に分離する。ログは共通様式で一元収集し、相関・脅威インテリジェンス連携・手順化されたインシデント対応で可観測性を高める。クラウド／SaaS 連携はテンプレート化されたネットワーク・ID・鍵管理で再利用性を高め、段階的にハイブリッド移行を進める。",2026-02-18,published,initial CAN IT02,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-guardrails.html,local,Canada,Local-Sectoral,1,Local/Regional Network Model
CAN,IT03,"Sec-ZT-Policy
TBS/CSE のガイダンスに基づき、政府横断でZTアーキテクチャ（ID連携、端末健全性、マイクロセグメント、ログ相関）を方針化。クラウドではGuardrailsの下で鍵・監査・脆弱性管理を共通統制。ゼロトラスト実装はガバナンス（役割・責任・監査）とポリシー・コード化（IaC/PaC）を伴い、段階的ロードマップで展開する。ID連携・デバイス健全性・ネットワーク・アプリ・データ各柱の測定指標を定義し、成熟度を四半期ベースで可視化する。供給網リスク（SaaS/オープンソース/第三者委託）は契約・検証・監査証跡で管理し、SOCで相関・自動化を進める。クラウド採用時はランディングゾーンと鍵管理・秘匿化標準を適用し、オンプレとの接続は最小境界とする。",2026-02-18,published,initial CAN IT03,https://www.cyber.gc.ca/en/guidance/zero-trust-approach-security-architecture-itsm10008,policy;zt,Canada,Sec-ZT-Policy,1,Security / Zero-Trust Policy
CAN,IT04,"Risk-Zoning-ZT
連邦のITSG/NIST準拠の枠組みやCSEガイダンスを参照し、自治体はリスクベースのゾーニングとZTコントロール（MFA、端末姿勢、権限最小化、ログ相関）を実装。州標準との整合を取りつつ、住民サービスやSaaS連携には属性ベースのアクセス制御とCASBを併用し、個人情報の取り扱いを省法制に適合させる。データ分類と業務影響分析に基づきゾーンを定義し、境界は無害化・プロキシ・相互TLS・強制記録で多層化する。ID連携は属性・同意・最小権限を基本とし、端末はEDRと姿勢評価で継続検証する。バックアップとDRはゾーン横断の演習で検証し、レポーティングと監査証跡で再現性を確保する。可視化は共通ダッシュボードに統合し、運用手順と権限は職務分掌に沿って最小化する。",2026-02-18,published,initial CAN IT04,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-guardrails.html,partial;zt,Canada,Risk-Zoning-ZT,1,Risk Zoning / Segmentation
CAN,IT05,"Procurement
Cloud Adoption Strategy と Guardrails に基づく共通ポリシー／保証で、複数CSPを調達・アセスメント経由で活用。識別・鍵・ログ・脆弱性管理は共通統制の対象とし、機密度に応じたデータ取り扱い基準（居住・越境）を適用する。ポリシー／アシュアランス主導でクラウドを採用し、契約・セキュリティ基準・プライバシー・データ所在を明文化する。ランディングゾーン・ネットワーク・ID・鍵管理・監査の標準テンプレートを提供し、部門横断の再利用を促進する。クラウド審査／リスク評価／監査対応は中央で支援し、サービス選定の指針とガードレールで逸脱を抑止する。運用メトリクスと費用対効果を継続測定し、改善サイクルをポリシーへ反映する。",2026-02-18,published,initial CAN IT05,https://www.cyber.gc.ca/en/guidance/zero-trust-approach-security-architecture-itsm10008,procurement,Canada,Procurement,1,Government Cloud (Central)
CAN,IT06,"Procurement
自治体向けの全国共通クラウドは未整備で、州・準州の契約やAoG調達を通じて導入するのが一般的。共通ガードレール（ID連携、ログ、監査、バックアップ）に沿って設計し、住民向けSaaSの利用はプライバシー評価と契約条項で統制する。共通のガードレール（ID・監査・ログ・バックアップ・DR）に沿って設計・導入し、契約でデータ保護条項と第三者監査を担保する。SaaS利用は属性・同意・監査の前提で連携し、PII／センシティブ情報は暗号化・鍵分離で保護する。ネットワークは最小境界を維持し、必要に応じてVDI／無害化・強制プロキシで分離を補強する。費用対効果と成熟度を定期評価し、改善結果を標準テンプレートへ反映する。",2026-02-18,published,initial CAN IT06,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-guardrails.html,procurement,Canada,Procurement,1,Government Cloud (Local)
DEU,IT01,"GovNet‑Common
連邦の NdB と Bund‑Länder Verbindungsnetz により連邦–州–自治体の相互接続を段階統合する“連邦型”アーキテクチャ。この共通閉域は、冗長構成と多層防御を前提に、認証・認可、暗号化、ネットワーク分離の基準を横断適用する。外部系や他閉域（自治体網・分野網・学術網等）との接続は標準ゲートウェイで集約し、プロキシ／中継／検疫で最小化された面で制御する。運用面では集中監視（ログ集約・相関分析）と障害・脅威対応のハンドブックを共通化し、定期的な演習と監査で成熟度を引き上げる。クラウド／SaaS活用時は専用接続やZTポリシーを組み合わせ、オンプレとのハイブリッド移行を段階的に支える。",2026-02-18,published,carried over from existing IT01,https://www.bmi.bund.de/DE/themen/it-und-digitalpolitik/it-des-bundes/netze-des-bundes/netze-des-bundes-node.html,local,Germany,GovNet‑Common,1,Central Network Architecture
DEU,IT02,"Local-Sectoral
全国単一の自治体閉域はなく、各州（Länder）や自治体共同体が運用するネットワーク／DC基盤を相互接続する“連邦型”。行政手続のOAは州域ゲートウェイを介してオンライン化され、公開系とはプロキシ・中継・無害化等で分離。Bund‑Länder 連携で相互運用を確保しつつ、自治体の自律性を維持する。州・準州・自治体の共同接続モデルを前提に、拠点直収／地域DC経由／共同運用など複数の接続形態を標準化する。境界はゲートウェイに集約し、プロキシ／中継／無害化・画面転送で公開系と業務系を明確に分離する。ログは共通様式で一元収集し、相関・脅威インテリジェンス連携・手順化されたインシデント対応で可観測性を高める。クラウド／SaaS 連携はテンプレート化されたネットワーク・ID・鍵管理で再利用性を高め、段階的にハイブリッド移行を進める。",2026-02-18,published,initial DEU IT02,https://www.bmi.bund.de/EN/topics/it-digital-policy/it-security/it-security-node.html,local,Germany,Local-Sectoral,1,Local/Regional Network Model
DEU,IT03,"Sec-Hybrid
BSI IT‑Grundschutz を土台に、伝統的な境界防御にZT要素（MFA、最小権限、監査）を段階導入するハイブリッド。連邦/州/自治体の監査と指針で運用を平準化。レガシー境界はマイクロセグメント化と強制プロキシで段階的に縮退させ、重要系は物理＋論理分離で二重化する。MFA・端末姿勢・最小権限・暗号化・監査ログを既存システムに巻き取り、業務影響を抑えつつZTへ移行する。移行パターン（リホスト／リプラットフォーム／再設計）をプレイブック化し、共通テストと切替手順で品質を担保する。監査は連邦／州・省庁横断で基準を合わせ、重大インシデントの事後評価を教訓化して全体へ水平展開する。",2026-02-18,published,initial DEU IT03,https://www.bdbos.bund.de/DE/Aufgaben/NetzeDesBundes/AufbauUndStruktur/aufbauundstruktur_node.html,policy;zt,Germany,Sec-Hybrid,1,Security / Zero-Trust Policy
DEU,IT04,"Risk-Zoning-ZT
BSI IT‑Grundschutz を基盤に、情報価値に応じた保護要件（基礎/標準/上位）でゾーニングを実装。物理分離に頼りすぎない論理分離と最小権限、連邦/州/自治体の監査を通じ、ログ相関・脆弱性管理・バックアップを平準化。クラウドや外部接続は権限付与と検疫を経て最小化し、段階的にZT要素を取り込む。データ分類と業務影響分析に基づきゾーンを定義し、境界は無害化・プロキシ・相互TLS・強制記録で多層化する。ID連携は属性・同意・最小権限を基本とし、端末はEDRと姿勢評価で継続検証する。バックアップとDRはゾーン横断の演習で検証し、レポーティングと監査証跡で再現性を確保する。可視化は共通ダッシュボードに統合し、運用手順と権限は職務分掌に沿って最小化する。",2026-02-18,published,initial DEU IT04,https://www.bdbos.bund.de/DE/Aufgaben/NetzeDesBundes/AufbauUndStruktur/aufbauundstruktur_node.html,partial;zt,Germany,Risk-Zoning-ZT,1,Risk Zoning / Segmentation
DEU,IT05,"Multiple
Bundescloud や分散的な政府クラウド（DVC）等、連邦・州主体の複数基盤を制度連携。共通の識別・監査・ログ統制の下、業務の所在に応じてワークロードを配置し、ネットワークは専用接続／ZT制御で保護する。連邦・州・自治体等の複数クラウドを契約・認可・監査で連結し、最低統制（ID・鍵・ログ・脆弱性）を共通化する。相互接続はゲートウェイとトラスト境界でリスクを制御し、データ移送は暗号化・鍵分離・最小権限を徹底する。ポリシーはカタログ化し、標準テンプレートと自動化で配置・運用のばらつきを抑える。可視化は集中ダッシュボードに統合し、重要監査指標を定常モニタリングする。",2026-02-18,published,initial DEU IT05,https://www.bmi.bund.de/EN/topics/it-digital-policy/it-security/it-security-node.html,multiple,Germany,Multiple,1,Government Cloud (Central)
DEU,IT06,"Multiple
自治体クラウドは州単位や自治体共同体を中心に複数基盤が併存。連邦の相互運用フレームと契約ガイドを参照し、ID連携・監査・バックアップの共通項目を統一する。公開系SaaSはデータ所在・契約条項により制御し、機密度に応じた分離を維持。自治体向けに複数基盤を使い分けるモデルで、ID・ログ・バックアップ・DR等の基盤要件を標準テンプレート化する。ネットワークは閉域／専用接続／ZT制御を組み合わせ、公開SaaS連携はCASB等で属性・同意・監査を統制する。契約・監査・データ所在の要件は中央ガイドに準拠し、移行は段階的（評価→パイロット→横展開）に進める。小規模団体には運用支援・共通運用センターを提供し、可視化と復旧力を底上げする。",2026-02-18,published,initial DEU IT06,https://www.bmi.bund.de/EN/topics/it-digital-policy/it-security/it-security-node.html,multiple,Germany,Multiple,1,Government Cloud (Local)
DNK,IT01,"GovNet‑Sectoral 
医療 SDN や緊急通信 SINE など分野網を中核に、NIS2 に基づく強化と Internet‑first＋ZT の原則を適用。登録・管理責任・重大インシデント通報・適切なセキュリティ対策の実装を含む要件を満たし、クラウドや外部サービスはリスク管理と最小権限・継続検証で運用する。",2026-02-18,published,carried over from existing IT01,https://sikkerhedsnet.dk/en/,sectoral,Denmark,GovNet‑Sectoral,1,Central Network Architecture
DNK,IT02,"Local-Sectoral
全国一律の自治体閉域はなく、医療SDNや緊急通信SINE等の分野閉域と、自治体自営・共同の接続が組み合わさる。公開系とはプロキシや中継経路で厳格に分離し、データ交換はAPIカタログと権限管理で制御。監査・ログは共通要件に沿って集約し、支援機関の標準ガイドに従って運用を平準化する。州・準州・自治体の共同接続モデルを前提に、拠点直収／地域DC経由／共同運用など複数の接続形態を標準化する。境界はゲートウェイに集約し、プロキシ／中継／無害化・画面転送で公開系と業務系を明確に分離する。ログは共通様式で一元収集し、相関・脅威インテリジェンス連携・手順化されたインシデント対応で可観測性を高める。クラウド／SaaS 連携はテンプレート化されたネットワーク・ID・鍵管理で再利用性を高め、段階的にハイブリッド移行を進める。",2026-02-18,published,initial DNK IT02,https://www.coi.dk/english/,local,Denmark,Local-Sectoral,1,Local/Regional Network Model
DNK,IT03,"Sec-Hybrid
国家ガイドに沿って、用途別ゾーン化とZTの要素を混在導入。重要系は分離・強制プロキシ、一般系はMFAと端末衛生・監査で論理分離し、共通SOCで検知・対応力を強化。レガシー境界はマイクロセグメント化と強制プロキシで段階的に縮退させ、重要系は物理＋論理分離で二重化する。MFA・端末姿勢・最小権限・暗号化・監査ログを既存システムに巻き取り、業務影響を抑えつつZTへ移行する。移行パターン（リホスト／リプラットフォーム／再設計）をプレイブック化し、共通テストと切替手順で品質を担保する。監査は連邦／州・省庁横断で基準を合わせ、重大インシデントの事後評価を教訓化して全体へ水平展開する。",2026-02-18,published,initial DNK IT03,https://en.digst.dk/digital-governance/nis-2/what-are-the-requirements/,policy;zt,Denmark,Sec-Hybrid,1,Security / Zero-Trust Policy
DNK,IT04,"Risk-Zoning-ZT
国家ガイダンスに基づき、用途別ゾーン化と最小権限・MFA・端末姿勢確認を基本にZTを段階導入。自治体規模に応じてVDIやCASBで論理分離を補強し、重要系はネットワーク分離・無害化・強制プロキシで保護する。共通SOC/監査で早期検知と復旧力を高める。データ分類と業務影響分析に基づきゾーンを定義し、境界は無害化・プロキシ・相互TLS・強制記録で多層化する。ID連携は属性・同意・最小権限を基本とし、端末はEDRと姿勢評価で継続検証する。バックアップとDRはゾーン横断の演習で検証し、レポーティングと監査証跡で再現性を確保する。可視化は共通ダッシュボードに統合し、運用手順と権限は職務分掌に沿って最小化する。",2026-02-18,published,initial DNK IT04,https://en.digst.dk/digital-governance/nis-2/what-are-the-requirements/,partial;zt,Denmark,Risk-Zoning-ZT,1,Risk Zoning / Segmentation
DNK,IT05,"Procurement
政府はクラウドの選定・契約・法令遵守に関する公式ガイダンスを提供し、当局はリスク、法令、セキュリティ、契約観点を満たす形で商用クラウドを採用する。統制要件はアシュアランスと監査で担保し、データ所在地と越境移転を評価する。ポリシー／アシュアランス主導でクラウドを採用し、契約・セキュリティ基準・プライバシー・データ所在を明文化する。ランディングゾーン・ネットワーク・ID・鍵管理・監査の標準テンプレートを提供し、部門横断の再利用を促進する。クラウド審査／リスク評価／監査対応は中央で支援し、サービス選定の指針とガードレールで逸脱を抑止する。運用メトリクスと費用対効果を継続測定し、改善サイクルをポリシーへ反映する。",2026-02-18,published,initial DNK IT05,https://www.coi.dk/english/,procurement,Denmark,Procurement,1,Government Cloud (Central)
DNK,IT06,"Procurement
自治体は国の方針と調達実務に沿ってクラウドを採用。共通の契約条項・セキュリティ期待に合わせ、識別・ログ・バックアップ・DRの要件を満たす形で構成する。医療や教育など分野要件は追加統制で補強する。共通のガードレール（ID・監査・ログ・バックアップ・DR）に沿って設計・導入し、契約でデータ保護条項と第三者監査を担保する。SaaS利用は属性・同意・監査の前提で連携し、PII／センシティブ情報は暗号化・鍵分離で保護する。ネットワークは最小境界を維持し、必要に応じてVDI／無害化・強制プロキシで分離を補強する。費用対効果と成熟度を定期評価し、改善結果を標準テンプレートへ反映する。",2026-02-18,published,initial DNK IT06,https://en.digst.dk/digital-governance/nis-2/what-are-the-requirements/,procurement,Denmark,Procurement,1,Government Cloud (Local)
EST,IT01,"Internet‑ZT
専用閉域は最小限。X‑Road を核に“インターネット上で安全に”を実現するZT指向。設計は“インターネット前提”で、境界に依存しないゼロトラスト制御（強制MFA、端末姿勢検証、属性ベースの最小権限、暗号化、継続監査）を標準とする。ネットワークはセグメントを薄く保ち、ブローカー型の安全な接続・プロキシ・CASBでSaaS／IaaSを一貫統制する。ログは中央に集約して相関分析・自動対応を行い、構成と脆弱性はカタログ化して継続的に是正する。レガシー接続や高機密領域は画面転送・無害化・強制プロキシ等で補完し、段階的にZT成熟度を高める。",2026-02-18,published,carried over from existing IT01,https://e-estonia.com/solutions/interoperability-services/x-road/,sectoral;zt,Estonia,Internet‑ZT,1,Central Network Architecture
EST,IT02,"Internet-ZT
自治体専用の全国閉域は想定せず、X‑Road（X‑tee）を通じてインターネット上で安全に相互運用する設計。公開系と業務系の境界はID・相互TLS・アクセス権・監査証跡で統制し、物理分離に依存しない。重要情報は元台帳に留め、必要時に最小化して取得する“分散一元化”の原則を徹底する。Internet‑first を前提に、強制MFA・端末姿勢検証・属性ベース最小権限・暗号化・継続監査といったZT制御を標準化する。安全なインターネット接続とCASB／プロキシをブローカーとして配置し、SaaS／IaaS への経路と監査証跡を一貫統制する。レガシー系・高機密系はVDIや無害化・強制プロキシで補完し、分離レベルを用途に応じて可変化する。共通ログ基盤で相関・自動対応を実装し、設定・脆弱性の是正はカタログとガードレールで継続的に実施する。",2026-02-18,published,initial EST IT02,https://e-estonia.com/,internet-zt,Estonia,Internet-ZT,1,Local/Regional Network Model
