event_id,country_id,event_date,event_type,severity,title,description,source_url
AUS-E06,AUS,2013/5/1,制度開始,High,myGov portal launched,myGov was launched in May 2013 as a single entry portal for multiple federal services.,https://www.anao.gov.au/work/performance-audit/mygov-digital-services
AUS-E08,AUS,2016/1/1,発表,Medium,TDIF concept and accreditation framework established,Trusted Digital Identity Framework (TDIF) introduced as voluntary accreditation framework for digital identity providers.,https://architecture.digital.gov.au/standard/trusted-digital-identity-framework-tdif
AUS-E07,AUS,2017/7/19,制度開始,Medium,Australia Post Digital iD soft launch (available for download),Australia Post released Digital iD via a soft launch and made it available for download (initial early adopter release).,https://www.themandarin.com.au/80833-australia-post-digital-id-launched/
AUS-E09,AUS,2019/7/1,制度開始,Medium,NSW Digital Driver Licence trial expands,NSW expanded pilots and prepared rollout of the Digital Driver Licence prior to official launch.,https://en.wikipedia.org/wiki/Digital_driver%27s_licence
AUS-E01,AUS,2019/10/3,制度開始,High,myGovID app released,myGovID (now myID) Digital ID app initial release on 3 October 2019,https://en.wikipedia.org/wiki/MyID_(Australia)
AUS-E02,AUS,2019/11/3,制度開始,Medium,NSW Digital Driver Licence launched,NSW officially launched digital driver’s licence in early Nov 2019,https://www.abc.net.au/news/2019-11-04/nsw-digital-driver-licence-explained/11667696
AUS-E10,AUS,2020/1/1,発表,Medium,TDIF referenced as published framework (Jan 2020),TDIF described as a set of rules and standards for safe use of online government services.,https://www.counterfraud.gov.au/library/trusted-digital-identity-framework
AUS-E03,AUS,2024/5/30,法制定,High,Digital ID Act 2024 received Royal Assent,Digital ID Bill became Act No.25 (2024) with Royal Assent on 30 May 2024,https://www.aph.gov.au/Parliamentary_Business/Bills_Legislation/Bills_Search_Results/Result?bId=s1404
AUS-E05,AUS,2024/11/13,発表,Low,myGovID renamed myID,Australian Government Digital ID app myGovID renamed to myID from mid-Nov 2024,https://www.ato.gov.au/media-centre/mygovid-is-now-called-myid
AUS-E04,AUS,2024/11/30,施行,High,Digital ID legislation changes commence,Digital ID legislation changes from 30 Nov 2024 enabling expansion to states/territories and accreditation,https://www.digitalidsystem.gov.au/news/digital-id-legislation-whats-changing-from-30-november-2024
CAN-E03,CAN,2005/1/1,制度開始,Medium,Québec clicSÉQUR released online,Québec government authentication service clicSÉQUR was released online in 2005 for citizen access to services.,https://www.info.clicsequr.gouv.qc.ca/en/citoyens/what-is-clicsequr/
CAN-E04,CAN,2012/4/1,制度開始,High,SecureKey Concierge in full operation,SecureKey Concierge credential broker service implemented in spring 2012 as part of Cyber Authentication Renewal.,https://www.canada.ca/en/shared-services/corporate/about-us/transparency/access-information-privacy/publications/securekey-concierge-credential-broker-service.html
CAN-E01,CAN,2012/9/1,制度開始,Medium,GCKey became operational,GCKey authentication service became operational starting in September 2012,https://www.newswire.ca/news-releases/2keys-security-solutions-completes-deployment-of-gckey-for-the-government-of-canada-511991111.html
CAN-E02,CAN,2012/9/1,制度開始,Medium,Sign-In Partner introduced (bank-based sign-in),Canada introduced Sign-In Partner as an alternative to GCKey for government sign-in via participating banks,https://ircc-services.canada.ca/2/gckey-page
CAN-E05,CAN,2012/11/6,発表,Medium,SecureKey Concierge launch announced,SecureKey announced launch of SecureKey Concierge for Government of Canada with initial bank sign-in partners.,https://www.canada.ca/en/shared-services/corporate/about-us/transparency/access-information-privacy/publications/securekey-concierge-credential-broker-service.html
CAN-E06,CAN,2013/1/1,制度開始,Medium,BC Services Card replaced CareCard,BC Services Card replaced the CareCard in 2013 as provincial ID for services.,https://news.gov.bc.ca/releases/2016MTICS0013-001003
CAN-E07,CAN,2014/3/6,発表,Low,SecureKey Concierge passes 1M credential milestone,SecureKey Concierge surpassed one million credentials and processed more than one million transactions per month.,https://www.businesswire.com/news/home/20140306005186/en/SecureKey-Concierge-Service-Surpasses-One-Million-Credential-Milestone
CAN-E08,CAN,2015/7/1,制度開始,Medium,MyAlberta Digital ID program implemented,Government of Alberta implemented MyAlberta Digital ID program in July 2015 as a mechanism for digital identity credentials.,https://www.alberta.ca/system/files/custom_downloaded_images/sa-amvir-registrars-notification-01-2020.pdf
CAN-E09,CAN,2017/1/1,拡張,Medium,MyAlberta Verify identity proofing introduced,Alberta introduced verified account identity proofing by cross-referencing Motor Vehicle System data.,https://www.oag.ab.ca/improvements-needed-to-strengthen-management-of-alberta-ca-accounts/
CAN-E10,CAN,2019/5/1,制度開始,High,Verified.Me digital identity network goes live,Verified.Me became available for consumers of major Canadian banks as a digital identity and attribute-sharing network.,https://www.newswire.ca/news-releases/securekey-and-initial-network-participants-accomplish-key-milestone-in-bringing-digital-identity-network-to-market-849982735.html
CAN-E11,CAN,2019/7/1,パイロット,Medium,First federal digital ID pilot with Alberta launched,Treasury Board Secretariat noted the first federal digital ID pilot launched in summer 2019 in Alberta (MyAlberta Digital ID).,https://canada-ca.github.io/PCTF-CCP/docs/2020-08-08%20Digital-ID-General-with-CIOSC-Standard-Draft%20%28EN%29.pdf
CAN-E12,CAN,2020/2/1,パイロット,Medium,BC Services Card used to access CRA My Account,Second federal digital ID project launched Feb 2020 enabling BC Services Card to access CRA My Account.,https://canada-ca.github.io/PCTF-CCP/docs/2020-08-08%20Digital-ID-General-with-CIOSC-Standard-Draft%20%28EN%29.pdf
CAN-E13,CAN,2020/8/8,発表,Medium,Pan-Canadian Trust Framework draft updated with national standard,"TBS digital ID background doc revised to add national standard on Aug 8, 2020 and referenced pan-Canadian approach.",https://canada-ca.github.io/PCTF-CCP/docs/2020-08-08%20Digital-ID-General-with-CIOSC-Standard-Draft%20%28EN%29.pdf
CAN-E14,CAN,2021/9/8,発表,Medium,Ontario publishes Digital ID technology and standards,Ontario publicly launched technology and standards for its digital identity ecosystem on 8 Sep 2021.,https://news.ontario.ca/en/release/1000787/ontario-releases-technology-and-standards-for-digital-identity
CAN-E15,CAN,2021/10/1,発表,High,Interac announces acquisition of SecureKey digital ID services,Interac announced transaction to acquire exclusive rights to SecureKey digital ID services in Canada (incl. Verified.Me).,https://www.interac.ca/en/content/news/interac-acquires-securekey-digital-id-services-for-canada-five-things-you-need-to-know/
DEU-E01,DEU,2010/11/1,制度開始,High,German national ID card introduced (new format),German National Identity Card introduced on 1 Nov 2010 with chip and eID capability,https://www.personalausweisportal.de/Webs/PA/EN/citizens/german-id-card/german-id-card-node.html
DEU-E05,DEU,2014/11/1,制度開始,Medium,AusweisApp2 released,Federal government provided new eID client software AusweisApp2 from 1 Nov 2014 with a trial phase.,https://www.pressebox.de/pressemitteilung/governikus-gmbh-co-kg-bremen/Neue-AusweisApp2-des-Bundes-ab-1-11-2014/boxid/710825
DEU-E06,DEU,2017/7/3,発表,Low,AusweisApp2 source code released under EUPL,"AusweisApp2 source code released as open source under EUPL, available on GitHub since 3 July 2017.",https://interoperable-europe.ec.europa.eu/collection/eupl/news/german-e-id-software-released
DEU-E02,DEU,2017/8/18,施行,High,Online Access Act (OZG) entered into force,"Online Access Act entered into force on 18 Aug 2017, obligating digital access via portal network",https://www.it-planungsrat.de/en/federal-cooperation/implementing-the-online-access-act
DEU-E03,DEU,2019/1/1,制度開始,Medium,BundID provided (year of initial availability),BMI provided BundID in 2019 as a central user account for digital government services (year-level date used).,https://www.digitale-verwaltung.de/Webs/CIO/DE/digitale-loesungen/digitale-verwaltung/bundid/bundid-node.html
DEU-E07,DEU,2019/11/1,施行,Medium,eID-Karte-Gesetz entered into force,Act on eID card for EU/EEA citizens (eIDKG) entered into force on 1 Nov 2019.,https://personalausweisportal.de/Webs/PA/EN/citizens/id-card-for-eu-and-eea/eID-card-for-eu-and-eea-node.html
DEU-E08,DEU,2021/1/1,制度開始,High,eID card for EU/EEA citizens introduced,Germany introduced eID card for EU/EEA citizens on 1 Jan 2021 to enable online identification.,https://personalausweisportal.de/Webs/PA/EN/citizens/id-card-for-eu-and-eea/eID-card-for-eu-and-eea-node.html
DEU-E04,DEU,2021/8/2,拡張,Medium,Fingerprints required on new ID cards,Two fingerprints are stored on identity cards issued from 2 Aug 2021,https://www.personalausweisportal.de/Webs/PA/EN/citizens/german-id-card/german-id-card-node.html
DEU-E09,DEU,2021/11/1,拡張,Medium,eID card issuance abroad enabled,German missions abroad designated by Federal Foreign Office can issue eID cards abroad since 1 Nov 2021.,https://personalausweisportal.de/Webs/PA/EN/citizens/id-card-for-eu-and-eea/eID-card-for-eu-and-eea-node.html
DEU-E10,DEU,2023/11/6,発表,Low,AusweisApp2 renamed to AusweisApp,Federal eID client removed “2” from name and refreshed design from 6 Nov 2023.,https://www.ausweisapp.bund.de/en/news/translate-to-english-ausweisapp-neuer-name-neuer-look
DNK-E06,DNK,2008/1/1,制度開始,Medium,NemLog-in established,NemLog-in was originally established in 2008 as common login for public self-service solutions.,https://www.electronic-supply.dk/procurement/view/22634/nemlogin3
DNK-E01,DNK,2010/7/1,制度開始,High,NemID launched,NemID was launched on 1 July 2010 for citizens and businesses,https://digst.dk/it-loesninger/mitid/forgaengeren-til-mitid/
DNK-E07,DNK,2013/11/1,施行,High,Digital Post mandatory for businesses,Digital Post became obligatory for businesses on 1 Nov 2013 under Danish digital post legislation.,https://en.digst.dk/systems/digital-post/current-legislation-about-digital-post
DNK-E08,DNK,2014/11/1,施行,High,Digital Post mandatory for residents,"Digital Post became obligatory for residents on 1 Nov 2014, shifting communications to digital mailbox.",https://en.digst.dk/systems/digital-post/current-legislation-about-digital-post
DNK-E09,DNK,2018/5/28,拡張,Medium,NemID key app enables mobile login across public/private,NemID nøgleapp enabled mobile approvals and could be used where NemID keycard was used.,https://regeringen.dk/nyheder/2018/nemid-paa-mobilen/
DNK-E10,DNK,2018/5/28,制度開始,Medium,NemID nøgleapp released,Digitaliseringsstyrelsen and Finans Danmark launched NemID key app in spring 2018 (end of May).,https://regeringen.dk/nyheder/2018/nemid-paa-mobilen/
DNK-E02,DNK,2021/4/27,法制定,High,MitID and NemLog-in law adopted,Danish parliament adopted the MitID and NemLog-in law on 27 April 2021,https://digst.dk/it-loesninger/mitid/lovgivning/
DNK-E03,DNK,2021/5/6,施行,High,MitID legal provisions entered into force,Provisions on MitID entered into force on 6 May 2021,https://digst.dk/it-loesninger/mitid/lovgivning/
DNK-E04,DNK,2021/10/1,制度開始,High,MitID launched,MitID launched in October 2021 replacing NemID for public and private services,https://finansdanmark.dk/en/current-topics/digital-society/payments/mitid/
DNK-E05,DNK,2023/10/31,終了,Medium,NemID shut down,NemID closed on 31 October 2023 after transition to MitID,https://digst.dk/it-loesninger/mitid/forgaengeren-til-mitid/
EST-E04,EST,2000/12/15,施行,High,Digital Signatures Act entered into force,Digital Signatures Act (passed 8 Mar 2000) entered into force on 15 Dec 2000,https://www.riigiteataja.ee/en/eli/530102013080/consolide
EST-E01,EST,2001/1/1,制度開始,High,X-Road launched,Secure data exchange layer began nationwide use,https://e-estonia.com/solutions/interoperability-services/x-road/
EST-E05,EST,2002/1/1,制度開始,High,First ID cards issued,"Estonian eID card first issued in 2002, forming a foundation for e-services",https://e-estonia.com/a-digital-success-story-the-cornerstone-of-e-estonia-celebrates-its-jubilee/
EST-E06,EST,2002/1/1,制度開始,Medium,First digital signature given,First legally valid digital signature was given in Estonia in 2002,https://e-estonia.com/a-digital-success-story-the-cornerstone-of-e-estonia-celebrates-its-jubilee/
EST-E02,EST,2002/1/28,制度開始,High,National ID-card introduced,ID-card enabled authentication and digital signatures,https://e-estonia.com/solutions/estonian-e-identity/id-card/
EST-E09,EST,2005/10/16,パイロット,High,Internet voting first used in binding election,Estonia first used legally binding internet voting in municipal elections on 16 Oct 2005.,https://www.coe.int/t/dgap/goodgovernance/Activities/E-voting/EVoting_Documentation/PDF-FinalReportCOE_EvotingEstonia2005.pdf
EST-E07,EST,2007/6/13,制度開始,High,Mobile-ID service launched,"Mobile-ID service launched by EMT, enabling eID authentication and signing via phone SIM",https://egov.eletsonline.com/2007/06/mobile-id-service-launched-in-estonia/
EST-E03,EST,2014/12/1,制度開始,Medium,e-Residency launched,e-Residency program started,https://e-estonia.com/solutions/estonian-e-identity/id-card/
EST-E08,EST,2017/2/1,制度開始,Medium,Smart-ID introduced,SK ID Solutions introduced Smart-ID to Baltic users in February 2017,https://www.skidsolutions.eu/news/smart-id-crossed-the-threshold-of-one-million-users/
EST-E10,EST,2017/8/30,事故,High,ROCA vulnerability disclosed for ID cards,Estonia notified of ROCA chip vulnerability affecting ID cards issued since 2014.,https://ria.ee/en/media/742/download
FRA-E03,FRA,2016/6/29,制度開始,High,FranceConnect launched,FranceConnect identity federation was inaugurated on 29 June 2016 to simplify access to online public services,https://www.maire-info.com/technologie-de-l-information/lancement-de-france-connect-systeme-d-identification-simplifie-aux-sitesde-l-administration-article-19764
FRA-E02,FRA,2019/4/19,法改正,High,Decret cadre NIR,Framework decree governing NIR usage,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000038396526
FRA-E04,FRA,2021/3/15,制度開始,High,New national ID card format begins circulation,New credit-card-sized identity card began coming into circulation on 15 March 2021,https://passeport.ants.gouv.fr/home/all-about-identity-documents/the-national-identity-card-gets-a-new-look
FRA-E06,FRA,2021/6/7,制度開始,Medium,Identité Numérique La Poste launched,La Poste began offering Identité Numérique service since 7 June 2021 for secure login and identity.,https://www.lapostegroupe.com/fr/actualite/lidentite-numerique-de-la-poste--une-solution-en-expansion
FRA-E05,FRA,2021/8/2,制度開始,High,CNIe issued nationwide,"From 2 August 2021, applicants receive the new-format electronic ID card across France",https://passeport.ants.gouv.fr/home/all-about-identity-documents/the-national-identity-card-gets-a-new-look
FRA-E07,FRA,2021/9/1,制度開始,High,FranceConnect+ introduced,French government set up FranceConnect+ in 2021 for sensitive procedures requiring stronger authentication.,https://www.numerique.gouv.fr/sinformer/espace-presse/franceconnect-1-million-dusagers-accedant-a-des-demarches-en-ligne-sensibles-de-maniere-simple-et-securisee/
FRA-E08,FRA,2022/3/1,拡張,Medium,FranceConnect reaches 30M+ users,"FranceConnect exceeded 30 million users five years after launch, accelerating adoption.",https://labo.societenumerique.gouv.fr/en/articles/franceconnect-counts-30-million-users/
FRA-E09,FRA,2023/7/6,拡張,Low,FranceConnect+ reaches 1 million users,FranceConnect+ reached one million users for sensitive online procedures.,https://www.numerique.gouv.fr/sinformer/espace-presse/franceconnect-1-million-dusagers-accedant-a-des-demarches-en-ligne-sensibles-de-maniere-simple-et-securisee/
FRA-E01,FRA,2024/2/13,制度開始,High,France Identit? generalized,France Identit? opened to all and introduced digital driving license,https://www.interieur.gouv.fr/actualites/communiques-de-presse/generalisation-de-lapplication-france-identite-et-lancement-du
FRA-E10,FRA,2024/7/12,拡張,Medium,FranceConnect+ integrates France Identité,"FranceConnect+ integrated France Identité as a certified identity provider, expanding options beyond La Poste.",https://www.interieur.gouv.fr/actualites/communiques-de-presse/franceconnect-integre-france-identite-pour-offrir-plus-de-choix-et
GBR-E05,GBR,2014/2/11,パイロット,Medium,Identity Assurance beta with HMRC,GDS moved Identity Assurance project into beta with HMRC users in February 2014.,https://gds.blog.gov.uk/story-2014/
GBR-E06,GBR,2014/10/1,パイロット,Medium,Verify public trials began,NAO reported public trials of Verify began in October 2014 with a small number of services.,https://www.nao.org.uk/wp-content/uploads/2019/03/Investigation-into-verify-Summary.pdf
GBR-E01,GBR,2016/5/24,制度開始,High,GOV.UK Verify went live,GOV.UK Verify identity assurance system went live on 24 May 2016,https://en.wikipedia.org/wiki/GOV.UK_Verify
GBR-E07,GBR,2019/3/5,発表,Medium,NAO investigation into Verify published,National Audit Office published investigation noting Verify performance issues and funding plans.,https://www.nao.org.uk/wp-content/uploads/2019/03/Investigation-into-verify-Summary.pdf
GBR-E02,GBR,2022/6/13,発表,Medium,Digital Identity and Attributes Trust Framework (beta) published,Government published beta version of UK digital identity and attributes trust framework on 13 June 2022,https://www.gov.uk/government/publications/uk-digital-identity-and-attributes-trust-framework-beta-version
GBR-E03,GBR,2023/3/30,制度終了,High,Final government service stopped using GOV.UK Verify,"As planned, GOV.UK Verify closed; the final government service stopped using the platform on 30 March 2023.",https://questions-statements.parliament.uk/written-statements/detail/2023-05-02/hlws742
GBR-E08,GBR,2023/7/6,制度開始,High,GOV.UK One Login scaled to 1.5M verified users,UK press release noted GOV.UK One Login had over 1.5 million users who proved identity to access services.,https://www.gov.uk/government/news/15-million-people-already-benefiting-from-reform-of-government-services-online
GBR-E09,GBR,2024/10/1,拡張,Medium,GOV.UK One Login reaches 50 services (Oct 2024),GDS reported 50 services using GOV.UK One Login as of October 2024.,https://gds.blog.gov.uk/2024/11/12/gov-uk-one-login-celebrating-50-services/
GBR-E04,GBR,2024/11/12,発表,Low,GOV.UK One Login reaches 50 services,GDS reported that 50 services were using GOV.UK One Login as of Oct 2024,https://gds.blog.gov.uk/2024/11/12/gov-uk-one-login-celebrating-50-services/
GBR-E10,GBR,2024/11/12,発表,Low,GDS blog announces One Login milestone,Government Digital Service published blog post celebrating 50 services milestone.,https://gds.blog.gov.uk/2024/11/12/gov-uk-one-login-celebrating-50-services/
GBR-E11,GBR,2025/10/1,制度開始,Medium,Digital Veteran Card launched in GOV.UK One Login app (wallet credential),GDS launched the digital HM Armed Forces Veteran Card as a credential in the GOV.UK One Login app (GOV.UK Wallet roadmap milestone).,https://roadmap-for-modern-digital-government.campaign.gov.uk/join-up-services/govuk-wallet/
